"x" "y"
1.288 -0.713
0.489 -0.903
-0.136 -1.602
0.403 1.45
0.019 -1.252
-1.105 -1.057
0.534 0.133
2.396 1.247
-1.773 -0.996
0.144 -0.092
1.492 -0.629
0.052 -0.016
1.144 0.303
0.848 -0.259
-0.246 1.083
-0.839 -0.979
-1.562 0.416
-1.484 5.867
-1.005 -0.8
-1.306 -1.553
0.003 3.302
-0.311 -0.254
-3.477 0.288
0.792 7.476
-0.531 -0.25
-0.364 0.718
0.542 0.293
-1.071 -1.868
-0.36 -0.301
-0.22 -0.826
1.272 -0.675
1.839 -0.183
-1.452 -1.335
1.081 5.699
1.828 -0.017
-4.365 -0.528
-1.785 -1.934
-0.061 0.198
-0.452 0.305
-0.574 2.803
-1.128 -1.764
-0.109 -0.173
-0.722 1.333
-0.652 0.955
-1.225 0.737
-2.319 -1.078
0.698 -1.484
2.255 0.39
0.929 0.263
1.846 1.149
-0.105 -1.103
0.709 -0.698
-6.378 -3.091
