UnitedStates,39,41,33
China,38,32,19
Japan,27,14,17
GreatBritain,22,20,22
ROC,20,28,23
Australia,17,7,22
Netherlands,10,12,14
France,10,12,11
Germany,10,11,16
Italy,10,10,20
Canada,7,7,10
Brazil,7,6,8
NewZealand,7,6,7
Cuba,7,3,5
Hungary,6,7,7
SouthKorea,6,4,10
Poland,4,5,5
CzechRepublic,4,4,3
Kenya,4,4,2
Norway,4,2,2
Jamaica,4,1,4
Spain,3,8,6
Sweden,3,6,0
Switzerland,3,4,6
Denmark,3,4,4
Croatia,3,3,2
Iran,3,2,2
Serbia,3,1,5
Belgium,3,1,3
Bulgaria,3,1,2
Slovenia,3,1,1
Uzbekistan,3,0,2
Georgia,2,5,1
ChineseTaipei,2,4,6
Turkey,2,2,9
Greece,2,1,1
Uganda,1,1,4
Ecuador,2,1,0
Ireland,2,0,2
Israel,0,2,4
Qatar,2,0,1
Bahamas,2,0,0
Kosovo,0,0,2
Ukraine,1,6,12
Belarus,1,3,3
Romania,1,3,0
Venezuela,3,0,4
India,1,2,4
HongKong,1,2,3
Philippines,1,2,1
Slovakia,2,1,4
SouthAfrica,1,2,0
Austria,1,1,5
Egypt,1,1,4
Indonesia,1,1,3
Ethiopia,1,1,2
Portugal,1,2,4
Tunisia,1,1,0
Estonia,1,0,1
Fiji,0,1,2
Latvia,0,1,2
Thailand,0,1,2
Bermuda,1,0,0
Morocco,0,0,1
PuertoRico,0,0,1
Colombia,0,4,1
Azerbaijan,0,3,4
DominicanRepublic,0,3,2
Armenia,0,2,2
Kyrgyzstan,0,2,1
Mongolia,0,1,3
Argentina,0,1,2
SanMarino,1,2,3
Jordan,0,1,1
Malaysia,1,1,2
Nigeria,1,1,2
Bahrain,0,1,0
Lithuania,1,0,1
Namibia,1,0,1
NorthMacedonia,1,0,1
SaudiArabia,1,0,1
Turkmenistan,1,0,1
Kazakhstan,0,0,8
Mexico,0,0,4
Finland,0,0,2
Botswana,0,0,1
BurkinaFaso,0,1,1
Ghana,0,1,1
Grenada,0,1,1
IvoryCoast,0,1,1
Kuwait,0,1,1
Moldova,0,1,1
Syria,0,1,1
